"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LVPes","1039998660","100560","233009","10341","1085937","159288","45635760","Community","false","Spanish","https://www.twitch.tv/lvpes"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","944231175","46335","141108","20377","16429486","2107232","27179932","Partner","false","Spanish","https://www.twitch.tv/rubius"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/95ce9a93-0d8f-49d5-bd3c-fd2851eaecda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElmiilloR","519357405","127695","15817","4066","857587","117768","15535744","Partner","false","Spanish","https://www.twitch.tv/elmiillor"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/770ffd55-c47a-4625-9158-595af4987a22-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elded","468923190","95370","23809","4916","5685307","658549","9092108","Partner","false","Spanish","https://www.twitch.tv/elded"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/6dd5bc1f-b226-494d-a3ff-6bba55f1ab24-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ALKAPONE","322042590","69555","18977","4629","1156100","102992","4853630","Partner","false","Spanish","https://www.twitch.tv/alkapone"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/78528288-6216-4e21-872b-7f415b602a9a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","alexelcapo","311754555","62895","83233","4956","1097619","120486","9927473","Partner","false","Spanish","https://www.twitch.tv/alexelcapo"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/57f99710-6d23-4690-a3c0-ff2c09f10b53-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Cristinini","264270435","135435","6586","1950","3149883","158633","15808080","Partner","false","Spanish","https://www.twitch.tv/cristinini"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","259951500","9960","92005","26099","17010016","1276743","6882641","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/95d00b2e-edd7-45dc-beaf-6d88d50546dd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LOLITOFDEZ","207963240","19110","216768","10881","2972448","459149","6795302","Partner","false","Spanish","https://www.twitch.tv/lolitofdez"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/f115fd78-7ed3-4e81-b907-23cc2e54917d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","REVENANT","205799655","68040","14376","3024","503106","85999","5465146","Partner","false","Spanish","https://www.twitch.tv/revenant"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","knekro","203514120","83460","8338","2437","1289006","61588","8413684","Partner","false","Spanish","https://www.twitch.tv/knekro"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/7eb4c35a-41a8-41a9-95ae-e18e99dcc43c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MarkiLokurasY","202817010","79935","14180","2536","1665617","237778","6009195","Partner","false","Spanish","https://www.twitch.tv/markilokurasy"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/bc9e7c87-c85a-45a6-9e45-0eb1e87eb47a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","192268110","12210","179372","15746","12287099","1091561","10351465","Partner","false","Spanish","https://www.twitch.tv/thegrefg"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/a132caaf-ee3b-42ae-887f-3f77e011c004-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Evangelion0","165897090","87480","9652","1895","180329","48428","8186735","Partner","false","Spanish","https://www.twitch.tv/evangelion0"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/4de1a3ee-1b98-4c6c-9ba8-01a1e45c9fb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","coscu","146365410","29520","77745","4957","3864364","277872","4934374","Partner","true","Spanish","https://www.twitch.tv/coscu"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","138070800","84540","15046","1632","11674676","215118","3153247","Partner","false","Spanish","https://www.twitch.tv/juansguarnizo"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/f880b0e6-59f6-4f46-88ac-d20e027c5dab-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Th3Antonio","130518570","55185","11179","2364","461649","58542","4049996","Partner","false","Spanish","https://www.twitch.tv/th3antonio"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/db9d5801-9986-4854-ac9b-c7a6cacda7e5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Carritoskami","129109305","104865","5978","1230","191088","55332","4798004","Partner","false","Spanish","https://www.twitch.tv/carritoskami"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/6de618da-e43e-40f7-ba3f-e9a21d2cfcf7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MenosTrece","128969700","100080","5738","1288","1258138","142173","4193742","Partner","false","Spanish","https://www.twitch.tv/menostrece"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/07e0e02d-e3e3-4d80-8d57-76c4ad3d82ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jac0b0","127733430","161370","4308","791","63837","34790","9634544","Partner","false","Spanish","https://www.twitch.tv/jac0b0"
