"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6263825640","82980","3442745","75485","19849963","3188636","Partner","false","Spanish","https://www.twitch.tv/ibai"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/881bf9b5-a6bb-419a-950a-b15a36e0dd0e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kingsleague","4808510700","36330","1098636","132356","3279516","2357734","Partner","false","Spanish","https://www.twitch.tv/kingsleague"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","3737012790","98280","151594","38024","4583146","1077925","Partner","false","Spanish","https://www.twitch.tv/illojuan"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","2804746725","53865","360947","52069","17010016","1591507","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/d4885242-febf-4a11-a42a-a0ad52474ee2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","2212321215","48480","403954","45633","9695161","2760451","Partner","false","Spanish","https://www.twitch.tv/elspreen"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","2164172550","87960","357257","24603","16429486","1444291","Partner","false","Spanish","https://www.twitch.tv/rubius"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","1801683135","55245","159115","32612","11004256","2908884","Partner","false","Spanish","https://www.twitch.tv/elmariana"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elxokas","1790272935","116805","94536","15327","4405242","625791","Partner","false","Spanish","https://www.twitch.tv/elxokas"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/bc9e7c87-c85a-45a6-9e45-0eb1e87eb47a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","1765809090","85185","1745462","20728","12287099","1278818","Partner","false","Spanish","https://www.twitch.tv/thegrefg"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/10e9e873-20c9-435f-9894-7689ff5d2b1a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","rivers_gg","1413502365","62400","213846","22652","6869973","3333126","Partner","false","Spanish","https://www.twitch.tv/rivers_gg"
