"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","7959901755","74715","879383","106536","19852125","4023562","Partner","false","English","https://www.twitch.tv/kaicenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","6533337435","144390","422291","45247","1579991","401921","Partner","false","English","https://www.twitch.tv/caedrel"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zackrawrr","5215805655","119265","309124","43732","2402428","222037","Partner","false","English","https://www.twitch.tv/zackrawrr"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4714125675","152715","222977","30868","3059503","174798","Partner","false","English","https://www.twitch.tv/hasanabi"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","4359162375","156930","123302","27777","10652899","1892151","Partner","false","English","https://www.twitch.tv/jynxzi"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","caseoh_","3703598685","72555","98706","51045","8679697","1593688","Partner","false","English","https://www.twitch.tv/caseoh_"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/48487d3b-e713-4a49-ad35-dec6ab7d690e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lacy","2800325430","164205","105914","17054","2594232","1037797","Partner","false","English","https://www.twitch.tv/lacy"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","2672044395","269100","29935","9929","6401532","68097","Partner","false","English","https://www.twitch.tv/summit1g"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/5742b015-e6ed-4f7c-a1dd-87cd88fe1eb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ohnePixel","2662555035","76920","298362","34614","2930487","827006","Partner","false","English","https://www.twitch.tv/ohnepixel"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","2619476550","115995","211423","22582","12520525","224657","Partner","false","English","https://www.twitch.tv/xqc"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/a04be2b0-9cc1-403c-a4b0-47b32d1fe640-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","jasontheween","2604028020","130725","118191","19919","2296742","1008017","Partner","false","English","https://www.twitch.tv/jasontheween"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/020d2ed3-c2f2-4d33-805f-92cf966a9c43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stableronaldo","2510576085","129720","115643","19353","4712149","707063","Partner","false","English","https://www.twitch.tv/stableronaldo"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","2261562225","177600","96765","12734","11300789","236957","Partner","false","English","https://www.twitch.tv/shroud"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/14f0fcfd-00d4-4004-9379-93e0c6336f5e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PlaqueBoyMax","1974591210","68955","196138","28635","2436241","900682","Partner","false","English","https://www.twitch.tv/plaqueboymax"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/d5a4b94c-5f59-4136-9e00-3311b06fdc63-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BLASTPremier","1942487010","117375","274849","16549","2350285","280437","Partner","false","English","https://www.twitch.tv/blastpremier"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/8dcaf96d-68ee-4fc6-bfdc-fdfc564e134a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LVNDMARK","1930019070","176445","114077","10938","1483913","147628","Partner","false","English","https://www.twitch.tv/lvndmark"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/058ee082-68f4-417b-8f8b-8c3ad42468ac-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheBurntPeanut","1837695780","151305","88552","12145","2360379","1299950","Partner","false","English","https://www.twitch.tv/theburntpeanut"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/01d55c0b-9cfc-4a3d-a622-1bc2b3300f5e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DDG","1830634770","129180","205741","14171","2199791","1706568","Partner","false","English","https://www.twitch.tv/ddg"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/70c63d12-ecae-485c-9bca-3d3f3ad5782a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","yourragegaming","1689306285","107235","61572","15753","2096794","314167","Partner","false","English","https://www.twitch.tv/yourragegaming"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","1622927190","475245","198900","3414","6807320","178469","Partner","false","English","https://www.twitch.tv/eslcs"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","1620703755","121665","34248","13321","2996817","12889","Partner","false","English","https://www.twitch.tv/lirik"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","1556039160","94500","104971","16465","3313124","71159","Partner","false","English","https://www.twitch.tv/tarik"
