Año,Ranking,Streamer,País,Categoria_principal,Subcategoria,Género,Tipo_streamer,Horas_vistas,Viewers_pico,Viewers_medios,Seguidores_total,Seguidores_ganados
2019,1,LVPes,España,Deportes,Esports,Organización,Organización,17333311,233009,10341,1085937,159288
2019,2,Rubius,España,Gaming,Variedad,Hombre,Individual,15737186,141108,20377,16429486,2107232
2019,3,ElmiilloR,España,Gaming,Variedad,Hombre,Individual,8655957,15817,4066,857587,117768
2019,4,elded,España,Gaming,Variedad,Hombre,Individual,7815386,23809,4916,5685307,658549
2019,5,ALKAPONE,España,Gaming,Variedad,Hombre,Individual,5367376,18977,4629,1156100,102992
2019,6,alexelcapo,España,Gaming,Variedad,Hombre,Individual,5195909,83233,4956,1097619,120486
2019,7,Cristinini,España,Gaming,Variedad,Mujer,Individual,4404507,6586,1950,3149883,158633
2019,8,auronplay,España,Variedad,Comedia,Hombre,Individual,4332525,92005,26099,17010016,1276743
2019,9,LOLITOFDEZ,España,Gaming,Fútbol,Hombre,Individual,3466054,216768,10881,2972448,459149
2019,10,REVENANT,España,Gaming,Variedad,Hombre,Individual,3429994,14376,3024,503106,85999
2019,11,knekro,España,Gaming,WoW,Hombre,Individual,3391902,8338,2437,1289006,61588
2019,12,MarkiLokurasY,España,Gaming,Variedad,Hombre,Individual,3380284,14180,2536,1665617,237778
2019,13,TheGrefg,España,Gaming,Fortnite,Hombre,Individual,3204468,179372,15746,12287099,1091561
2019,14,Evangelion0,España,Gaming,Variedad,Hombre,Individual,2764952,9652,1895,180329,48428
2019,15,coscu,Argentina,Variedad,Gaming,Hombre,Individual,2439424,77745,4957,3864364,277872
2019,16,juansguarnizo,Colombia,Gaming,Variedad,Hombre,Individual,2301180,15046,1632,11674676,215118
2019,17,Th3Antonio,España,Gaming,Variedad,Hombre,Individual,2175310,11179,2364,461649,58542
2019,18,Carritoskami,España,Casino,Apuestas,Hombre,Individual,2151822,5978,1230,191088,55332
2019,19,MenosTrece,España,Gaming,Variedad,Hombre,Individual,2149495,5738,1288,1258138,142173
2019,20,Jac0b0,España,Gaming,Variedad,Hombre,Individual,2128890,4308,791,63837,34790
2019,21,DuendePablo,Argentina,Gaming,Variedad,Hombre,Individual,2060830,4279,1248,939283,73542
2019,22,lolesportsla,Latinoamérica,Deportes,Esports,Organización,Organización,1919992,30162,1867,683967,60271
2019,23,ibai,España,Eventos,Just Chatting,Hombre,Individual,1708340,92096,7363,19849963,150847
2019,24,IlloJuan,España,Gaming,Variedad,Hombre,Individual,1621190,8729,2394,4583146,90831
2019,25,OMENbyHPEurope,España,Deportes,Esports,Organización,Organización,1602857,66403,1764,103960,31756
2019,26,Esportmaniacos,España,Deportes,Esports,Organización,Organización,1564909,15367,1151,179701,22566
2019,27,SoyFelipez360,México,Gaming,Variedad,Hombre,Individual,1549265,5672,1349,252243,45442
2019,28,goncho,Argentina,Gaming,Variedad,Hombre,Individual,1540874,16110,2613,1356536,82143
2019,29,ElRichMC,España,Música,Variedad,Hombre,Individual,1540598,33115,5521,1479429,158588
2019,30,ESL_CS_ES,España,Deportes,Esports,Organización,Organización,1503810,14658,262,299325,34894
2019,31,AriGameplays,México,Gaming,Variedad,Mujer,Individual,1466769,16361,2580,7143568,495735
2019,32,grafo,España,Gaming,Variedad,Hombre,Individual,1455648,6554,1263,584831,60306
2019,33,VeteALaVersh_dkco,Colombia,Just Chatting,Humor,Hombre,Individual,1393022,12294,238,1138392,206122
2019,34,AKAWonder,España,Gaming,FPS,Hombre,Individual,1368230,5110,677,116257,22721
2019,35,RedRoyaleStream,España,Gaming,Variedad,Hombre,Individual,1281830,17713,482,269950,135960
2019,36,LVPes2,España,Deportes,Esports,Organización,Organización,1221487,11860,1588,487385,27071
2019,37,pepiichatting,España,Just Chatting,IRL,Hombre,Individual,1210272,8076,1058,144559,17087
2019,38,SoyPan,Colombia,Gaming,Variedad,Hombre,Individual,1189279,4062,726,1116355,89296
2019,39,elxokas,España,Variedad,IRL,Hombre,Individual,1187788,7435,1249,4405242,23703
2019,40,SNEUX,España,Gaming,Variedad,Hombre,Individual,1132801,10716,1082,355418,45187
2019,41,LuchaLibreAAA,México,Deportes,Lucha Libre,Organización,Organización,1092869,40714,125,97617,33139
2019,42,Paxelol,España,Gaming,LoL,Hombre,Individual,1084196,3300,705,37082,13572
2019,43,wingz,España,Gaming,LoL,Hombre,Individual,1061121,3940,664,95892,16326
2019,44,Brakal,España,Gaming,Variedad,Hombre,Individual,1057300,1899,380,47612,13969
2019,45,Zeling,España,Gaming,Variedad,Mujer,Individual,1050886,5915,1148,628393,49139
2019,46,ElOjoNinja,España,Gaming,Variedad,Hombre,Individual,1049426,5005,915,542018,78752
2019,47,ryux,España,Gaming,Variedad,Hombre,Individual,1033571,5818,631,813907,113206
2019,48,XodaLive,España,Gaming,Variedad,Hombre,Individual,993714,5147,1175,190278,19751
2019,49,Fernanfloo,El Salvador,Gaming,Variedad,Hombre,Individual,988252,20023,1616,3308642,524836
2019,50,iamdiamond,España,Gaming,Variedad,Hombre,Individual,978991,3247,590,75437,24956
2020,1,ibai,España,Eventos,Just Chatting,Hombre,Individual,68194738,533239,42754,19849963,4106694
2020,2,auronplay,España,Variedad,Comedia,Hombre,Individual,67556150,191742,78507,17010016,5101415
2020,3,Rubius,España,Gaming,Variedad,Hombre,Individual,62639440,344676,56178,16429486,4687367
2020,4,TheGrefg,España,Gaming,Fortnite,Hombre,Individual,46623864,538444,38933,12287099,4208983
2020,5,juansguarnizo,Colombia,Gaming,Variedad,Hombre,Individual,32056801,140500,13590,11674676,2218439
2020,6,Reborn,España,Gaming,Variedad,Hombre,Individual,18898672,113707,17955,2501386,1359089
2020,7,elded,España,Gaming,Variedad,Hombre,Individual,18866798,44758,9832,5685307,1739335
2020,8,LVPes,España,Deportes,Esports,Organización,Organización,17924956,95207,11794,1085937,159590
