Año,Ranking,Streamer,Idioma,Horas_vistas,Viewers_pico,Viewers_medios,Seguidores_total,Seguidores_ganados,País,Categoria_principal,Subcategoria,Género,Tipo_streamer
2019,1,riotgames,Inglés,114692617,639375,55493,7358758,1099431,EE.UU.,Deportes,Esports,Organización,Organización
2019,2,Tfue,Inglés,92696554,285644,44959,11537464,3213748,EE.UU.,Gaming,Fortnite,Hombre,Individual
2019,3,ow_esports,Inglés,80483472,254493,57528,2407779,583849,EE.UU.,Deportes,Esports,Organización,Organización
2019,4,ESLCS,Inglés,67440173,558083,7807,6807320,873906,Alemania,Deportes,Esports,Organización,Organización
2019,5,summit1g,Inglés,64649348,75128,21637,6401532,618619,EE.UU.,Gaming,FPS,Hombre,Individual
2019,6,shroud,Inglés,62777120,201232,30973,11300789,2000233,Canadá,Gaming,FPS,Hombre,Individual
2019,7,xQc,Inglés,61746330,81341,17823,12520525,960790,Canadá,Gaming,Variedad,Hombre,Individual
2019,8,Asmongold,Inglés,56946342,263720,36462,3430784,630693,EE.UU.,Gaming,WoW/MMO,Hombre,Individual
2019,9,Ninja,Inglés,47962962,274505,42257,19258121,1953068,EE.UU.,Gaming,Fortnite,Hombre,Individual
2019,10,Gaules,Portugués,47736777,139851,5783,4323475,472098,Brasil,Gaming,FPS,Hombre,Individual
2019,11,sodapoppin,Inglés,42060644,113049,26221,8966121,360249,EE.UU.,Gaming,Variedad,Hombre,Individual
2019,12,GamesDoneQuick,Inglés,41860776,219649,36800,2071075,230380,EE.UU.,Gaming,Speedrun,Organización,Organización
2019,13,LIRIK,Inglés,41828107,89170,21082,2996817,209973,EE.UU.,Gaming,Variedad,Hombre,Individual
2019,14,NICKMERCS,Inglés,40202329,88144,18960,6766464,1018492,EE.UU.,Gaming,FPS,Hombre,Individual
2019,15,TimTheTatman,Inglés,38870067,95700,21193,7612246,1010717,EE.UU.,Gaming,Variedad,Hombre,Individual
2019,16,Dota2RuHub,Ruso,35267856,211063,28135,924092,217693,Rusia,Deportes,Esports,Organización,Organización
2019,17,handongsuk,Coreano,34899268,44976,11755,656212,178646,Corea del Sur,Gaming,Variedad,Hombre,Individual
