Año,Ranking,Streamer,Horas_vistas,Viewers_pico,Viewers_medios,Seguidores_total,Seguidores_ganados,Views_ganados
2019,1,LVPes,17333311,233009,10341,1085937,159288,45635760.0
2019,2,Rubius,15737186,141108,20377,16429486,2107232,27179932.0
2019,3,ElmiilloR,8655957,15817,4066,857587,117768,15535744.0
2019,4,elded,7815386,23809,4916,5685307,658549,9092108.0
2019,5,ALKAPONE,5367376,18977,4629,1156100,102992,4853630.0
2019,6,alexelcapo,5195909,83233,4956,1097619,120486,9927473.0
2019,7,Cristinini,4404507,6586,1950,3149883,158633,15808080.0
2019,8,auronplay,4332525,92005,26099,17010016,1276743,6882641.0
2019,9,LOLITOFDEZ,3466054,216768,10881,2972448,459149,6795302.0
2019,10,REVENANT,3429994,14376,3024,503106,85999,5465146.0
2019,11,knekro,3391902,8338,2437,1289006,61588,8413684.0
2019,12,MarkiLokurasY,3380284,14180,2536,1665617,237778,6009195.0
2019,13,TheGrefg,3204468,179372,15746,12287099,1091561,10351465.0
2019,14,Evangelion0,2764952,9652,1895,180329,48428,8186735.0
2019,15,coscu,2439424,77745,4957,3864364,277872,4934374.0
2019,16,juansguarnizo,2301180,15046,1632,11674676,215118,3153247.0
2019,17,Th3Antonio,2175310,11179,2364,461649,58542,4049996.0
2019,18,Carritoskami,2151822,5978,1230,191088,55332,4798004.0
2019,19,MenosTrece,2149495,5738,1288,1258138,142173,4193742.0
2019,20,Jac0b0,2128890,4308,791,63837,34790,9634544.0
2019,21,DuendePablo,2060830,4279,1248,939283,73542,5347052.0
2019,22,lolesportsla,1919992,30162,1867,683967,60271,3532074.0
2019,23,ibai,1708340,92096,7363,19849963,150847,3279157.0
2019,24,IlloJuan,1621190,8729,2394,4583146,90831,2189297.0
2019,25,OMENbyHPEurope,1602857,66403,1764,103960,31756,37975254.0
2019,26,Esportmaniacos,1564909,15367,1151,179701,22566,6130167.0
2019,27,SoyFelipez360,1549265,5672,1349,252243,45442,3124833.0
2019,28,goncho,1540874,16110,2613,1356536,82143,2879521.0
2019,29,ElRichMC,1540598,33115,5521,1479429,158588,4027457.0
2019,30,ESL_CS_ES,1503810,14658,262,299325,34894,4190540.0
2019,31,AriGameplays,1466769,16361,2580,7143568,495735,4652685.0
2019,32,grafo,1455648,6554,1263,584831,60306,3066272.0
2019,33,VeteALaVersh_dkco,1393022,12294,238,1138392,206122,14098942.0
2019,34,AKAWonder,1368230,5110,677,116257,22721,8989659.0
2019,35,RedRoyaleStream,1281830,17713,482,269950,135960,2860260.0
2019,36,LVPes2,1221487,11860,1588,487385,27071,12008822.0
2019,37,pepiichatting,1210272,8076,1058,144559,17087,1999091.0
2019,38,SoyPan,1189279,4062,726,1116355,89296,1484299.0
2019,39,elxokas,1187788,7435,1249,4405242,23703,2676571.0
2019,40,SNEUX,1132801,10716,1082,355418,45187,1659951.0
2019,41,LuchaLibreAAA,1092869,40714,125,97617,33139,7162687.0
2019,42,Paxelol,1084196,3300,705,37082,13572,1340753.0
2019,43,wingz,1061121,3940,664,95892,16326,1377506.0
2019,44,Brakal,1057300,1899,380,47612,13969,2000636.0
2019,45,Zeling,1050886,5915,1148,628393,49139,4126531.0
2019,46,ElOjoNinja,1049426,5005,915,542018,78752,2294120.0
2019,47,ryux,1033571,5818,631,813907,113206,2148801.0
2019,48,XodaLive,993714,5147,1175,190278,19751,1435358.0
2019,49,Fernanfloo,988252,20023,1616,3308642,524836,2884977.0
2019,50,iamdiamond,978991,3247,590,75437,24956,2396741.0
2020,1,ibai,68194738,533239,42754,19849963,4106694,114612647.0
2020,2,auronplay,67556150,191742,78507,17010016,5101415,75975467.0
2020,3,Rubius,62639440,344676,56178,16429486,4687367,87615652.0
2020,4,TheGrefg,46623864,538444,38933,12287099,4208983,71129838.0
2020,5,juansguarnizo,32056801,140500,13590,11674676,2218439,31704639.0
2020,6,Reborn,18898672,113707,17955,2501386,1359089,25451475.0
2020,7,elded,18866798,44758,9832,5685307,1739335,21600675.0
2020,8,LVPes,17924956,95207,11794,1085937,159590,53872079.0
2020,9,coscu,16496378,393619,11622,3864364,1535943,30627917.0
2020,10,Brunenger,15657729,151531,4850,1012915,894450,22947817.0
2020,11,FolagorLives,14861010,57813,6825,1761342,525343,17054409.0
2020,12,ALKAPONE,13399422,26221,7241,1156100,193513,11161581.0
2020,13,ElmiilloR,12957536,45726,6030,857587,353498,23158917.0
2020,14,Perxitaa,11034323,62702,10439,2548607,1247805,18204667.0
2020,15,Llobeti4,10439183,37469,5551,1562117,898596,17278722.0
2020,16,PapoMC,9390209,146890,12346,1782475,1430612,17551706.0
2020,17,alexelcapo,9118131,74670,7316,1097619,239609,18337124.0
2020,18,Alexby11,8216476,53526,7785,3203214,1491717,14572193.0
2020,19,MarkitoNavaja,7970256,113035,9590,1944223,1322641,11194938.0
2020,20,knekro,7797711,20078,4145,1289006,163688,12076882.0
2020,21,Cristinini,7449925,58228,3557,3149883,1168488,21994788.0
2020,22,ReventXz,7292622,47282,4371,940713,409359,14426285.0
2020,23,bysTaXx,6850247,259210,6740,2251614,867530,13251824.0
2020,24,ElcanaldeJoaco,6847677,121885,15786,1579203,1093085,9676632.0
2020,25,goncho,6838896,36494,5034,1356536,499379,14291343.0
2020,26,IlloJuan,6749727,26038,6062,4583146,255723,9165036.0
2020,27,CooLifeGame,6627808,17563,3713,912309,205067,15433489.0
2020,28,Jelty,6217094,26811,4347,3088711,799347,10054876.0
2020,29,eldemente,6163321,51264,5538,1555703,1018299,7710097.0
2020,30,natalan,5830742,9561,3860,1939989,713065,6838523.0
2020,31,SNEUX,5794860,48713,6015,355418,226700,6670105.0
2020,32,ElRichMC,5612384,95938,8177,1479429,462563,9861408.0
2020,33,Peereira7,5461971,24536,2194,1528608,583727,11300285.0
2020,34,zEkO,5432260,23836,4966,1171772,544096,9597569.0
2020,35,Werlyb,5283212,37980,3786,815143,243916,10316579.0
2020,36,Mixwell,5261523,24292,4767,1276053,366810,9900003.0
2020,37,bytarifaaa,5242897,121009,13090,1157602,789406,5836768.0
2020,38,MarkiLokurasY,5239254,26329,3560,1665617,654730,11715169.0
2020,39,lolesportsla,5104412,71260,6895,683967,156587,9042564.0
2020,40,LITkillah,5025328,33727,8049,2710937,1040143,5985867.0
2020,41,k1ng,4994428,52558,6917,2123752,981273,12121684.0
2020,42,Vicens,4966978,45460,5736,1985894,1163848,9724325.0
2020,43,REVENANT,4927022,13839,3242,503106,72804,9336941.0
2020,44,DuendePablo,4905562,31018,2111,939283,273528,8248954.0
2020,45,pimpeano,4855082,103261,11628,1390398,948788,6775934.0
2020,46,Staryuuki,4670722,14323,2952,3544754,1150230,11890750.0
2020,47,SLAKUNTV,4546742,70538,20229,4698281,2840230,10824371.0
2020,48,x6FlipiN,4520198,19304,3872,396579,234005,9651964.0
2020,49,momoladinastia,4431613,48982,4347,1218217,565072,7603392.0
2020,50,MrKeroro10,4376128,29384,3031,1404108,796693,9128386.0
2021,1,auronplay,118020404,317437,109303,17010016,4557864,133216503.0
2021,2,ibai,103024776,1538645,73523,19849963,4404701,176880410.0
2021,3,TheGrefg,78100059,2298485,35916,12287099,3633896,143902875.0
2021,4,juansguarnizo,70305644,110574,30721,11674676,3617172,95246098.0
2021,5,Rubius,60295247,215369,49996,16429486,3046600,106705022.0
2021,6,Jelty,39325512,73422,12492,3088711,1738401,63694564.0
2021,7,IlloJuan,26007826,106025,18108,4583146,774184,35364912.0
2021,8,LVPes,24477720,208475,16963,1085937,171303,47120741.0
2021,9,elxokas,23237874,79066,10036,4405242,1311256,41777932.0
2021,10,elded,20965005,56650,8560,5685307,1219050,27741085.0
2021,11,ElMariana,18606725,71906,21000,11004256,2817584,21699305.0
2021,12,knekro,17180828,52659,7344,1289006,289579,27147969.0
2021,13,FolagorLives,17119542,48555,7141,1761342,377647,21566740.0
2021,14,coscu,15734402,317576,9959,3864364,847924,29125069.0
2021,15,Cristinini,14804232,57105,8030,3149883,1277595,44372966.0
2021,16,alexelcapo,14543656,103217,9395,1097619,154532,24909355.0
2021,17,Perxitaa,13081802,80283,10798,2548607,748670,20864310.0
2021,18,ALKAPONE,12906888,21711,6949,1156100,173826,10759201.0
2021,19,ElmiilloR,12787642,42868,6596,857587,129163,24176636.0
2021,20,lolesportsla,12198965,302299,21940,683967,195773,15683993.0
2021,21,Alexby11,10891084,70418,8147,3203214,856787,22969618.0
2021,22,aXoZer,9803910,59850,5107,2948217,956829,17485728.0
2021,23,SUJA,9627051,39973,3405,1304031,666200,20878164.0
2021,24,DuendePablo,8949626,23559,4805,939283,155487,12606092.0
2021,25,goncho,8734724,28226,6120,1356536,231961,15835658.0
2021,26,MenosTrece,8440768,45464,4353,1258138,379137,13985798.0
2021,27,xXxTheFocuSxXx,8369782,63217,5220,1835870,968508,13030980.0
2021,28,Reborn,8292888,57036,5763,2501386,396489,14414595.0
2021,29,LVPes2,8142619,56177,8140,487385,177570,17351064.0
2021,30,Ricoy,8128753,60611,5735,519326,182451,11174263.0
2021,31,Werlyb,8022790,76653,6671,815143,302918,16401537.0
2021,32,ElSpreen,7938312,125865,9140,9695161,1839015,15104308.0
2021,33,LITkillah,7775466,105731,30672,2710937,1067548,12889753.0
2021,34,Robleis,7579754,69866,10597,5900036,1937654,13877862.0
2021,35,Staryuuki,7026618,20363,4814,3544754,1018934,23106971.0
2021,36,REVENANT,6936746,18739,3816,503106,80987,11166344.0
2021,37,biyin_,6693396,67262,10595,3154902,1207969,19412508.0
2021,38,tvandeR,6680481,39600,5715,548821,206263,10931194.0
2021,39,MrSoki,6633747,106234,3642,946509,374707,8270371.0
2021,40,Th3Antonio,6523518,21644,4514,461649,118067,11937143.0
2021,41,karchez,6320785,50806,4282,1323936,515729,11087399.0
2021,42,mrstiventc,6225038,80088,6861,1287114,855420,4711265.0
2021,43,Llobeti4,6220587,23678,3819,1562117,425157,17523249.0
2021,44,aroyitt,6209400,51965,6378,1993134,954367,15652511.0
2021,45,Carola,6185988,82556,4135,1866806,648286,12778321.0
2021,46,CooLifeGame,6181997,28011,2155,912309,422357,19268037.0
2021,47,ElChiringuitoTV,5999141,129514,4168,1076658,532163,12056109.0
2021,48,HITBOXKING,5985702,44742,3235,591815,190458,11843724.0
2021,49,MateoZ,5813160,24215,2694,913529,289615,9596820.0
2021,50,Alliege,5786979,37921,2023,995482,643551,16211142.0
2022,1,ibai,110371393,3351678,81545,19849963,3350413,
2022,2,auronplay,102142326,457641,89677,17010016,3265720,
2022,3,Rubius,59218608,372079,35830,16429486,2655537,
2022,4,IlloJuan,56715932,172014,37081,4583146,1601110,
2022,5,juansguarnizo,52930017,282341,30604,11674676,3383179,
2022,6,ElSpreen,49516639,188812,46277,9695161,3965503,
2022,7,elxokas,48998296,1185959,19239,4405242,1673188,
2022,8,ElMariana,39473770,125423,38511,11004256,3367987,
2022,9,TheGrefg,31591183,1066622,21396,12287099,1363864,
2022,10,LVPes,28400236,127804,18375,1085937,199896,
2022,11,knekro,19316246,71244,8025,1289006,290320,
2022,12,elded,13767577,39941,6457,5685307,685106,
2022,13,rivers_gg,12833607,67309,10710,6869973,2150027,
2022,14,gerardromero,12602928,146872,5852,749971,309616,
2022,15,WestCOL,11555555,145907,15949,1565785,718255,
2022,16,lolesportsla,11345504,187411,18901,683967,119168,
2022,17,davooxeneize,10468703,44052,7267,1859101,628060,
2022,18,alexelcapo,10454865,86940,8958,1097619,121181,
2022,19,Robleis,10127224,82090,8185,5900036,1750206,
2022,20,ALKAPONE,9964716,17885,4746,1156100,93326,
2022,21,aXoZer,9589858,522452,5104,2948217,1198166,
2022,22,HITBOXKING,9565493,36918,3610,591815,233107,
2022,23,Carreraaa,9322614,43252,12303,4954767,1897133,
2022,24,Carola,9249500,69680,5462,1866806,644050,
2022,25,QuackityToo,8833667,120532,39348,4931955,1819937,
2022,26,ElChiringuitoTV,8579271,56912,3564,1076658,279763,
2022,27,LVPes2,8328256,44903,7484,487385,113116,
2022,28,Reborn,8089766,56062,4447,2501386,577753,
